id,name,street,postal_code,city,region,country,latitude,longitude,Monday_opens,Monday_closes,Monday_description,Tuesday_opens,Tuesday_closes,Tuesday_description,Wednesday_opens,Wednesday_closes,Wednesday_description,Thursday_opens,Thursday_closes,Thursday_description,Friday_opens,Friday_closes,Friday_description,Saturday_opens,Saturday_closes,Saturday_description,Sunday_opens,Sunday_closes,Sunday_description
69,Ústřední knihovna - Suterén,N/A,115 72,N/A,N/A,Česko,50.08738,14.41738,13:00,17:00,Běžná otevírací doba,16:00,20:00,Běžná otevírací doba,15:00,17:00,Běžná otevírací doba,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
71,Ústřední knihovna - Pokladna sálů,N/A,115 72,N/A,N/A,Česko,50.08738,14.41738,14:00,20:00,Běžná otevírací doba,14:00,20:00,Běžná otevírací doba,14:00,20:00,Běžná otevírací doba,14:00,20:00,Běžná otevírací doba,14:00,20:00,Běžná otevírací doba,N/A,N/A,N/A,N/A,N/A,N/A
74,Mariánské náměstí,N/A,115 72,N/A,N/A,Česko,50.08738,14.41738,06:00,22:00,Běžná otevírací doba,06:00,22:00,Běžná otevírací doba,06:00,22:00,Běžná otevírací doba,06:00,22:00,Běžná otevírací doba,06:00,22:00,Běžná otevírací doba,06:00,22:00,Běžná otevírací doba,06:00,22:00,Běžná otevírací doba
2,Barrandov,N/A,152 00,N/A,N/A,Česko,50.028402,14.36824,13:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,N/A,N/A,N/A,N/A,N/A,N/A
5,Bohnice,N/A,181 00,N/A,N/A,Česko,50.128879,14.418651,13:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,09:00,13:00,Běžná otevírací doba,N/A,N/A,N/A
68,Brusnice - vzácné tisky,N/A,16900,N/A,N/A,Česko,50.094008,14.392211,N/A,N/A,N/A,N/A,N/A,N/A,13:00,18:00,Běžná otevírací doba,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,Břevnov,N/A,169 00,N/A,N/A,Česko,50.084426,14.374038,13:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,N/A,N/A,N/A,N/A,N/A,N/A
8,Cibulka,N/A,150 00,N/A,N/A,Česko,50.0676633,14.3665122,N/A,N/A,N/A,09:00,18:00,Běžná otevírací doba,12:00,18:00,Běžná otevírací doba,12:00,18:00,Běžná otevírací doba,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,Dědina,N/A,161 00,N/A,N/A,Česko,50.090728,14.308937,13:00,18:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,12:00,18:00,Běžná otevírací doba,12:00,18:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,N/A,N/A,N/A,N/A,N/A,N/A
12,Dejvice,N/A,160 80,N/A,N/A,Česko,50.1039,14.3906,13:00,19:00,Běžná otevírací doba,09:00,19:00,Běžná otevírací doba,09:00,19:00,Běžná otevírací doba,09:00,19:00,Běžná otevírací doba,09:00,19:00,Běžná otevírací doba,09:00,13:00,Běžná otevírací doba,N/A,N/A,N/A
